"Sample","PrincipalComponent.1","PrincipalComponent.2","PrincipalComponent.3","PrincipalComponent.4"
"NC_0",-0.207492165330289,0.181738200975305,0.0883502713070473,-0.181446434073898
"NC_1",-0.20295411554382,0.125832791326721,0.0644086551890856,-0.144797011565276
"NC_2",-0.197595796416114,0.179347324420949,0.0235815127559435,-0.217733694755208
"NC_3",0.324402259807224,0.251119189037453,-0.0103365086072157,0.167960975004866
"HS_0",0.299860341330504,0.196845749204915,0.0393672854367702,0.355100200084176
"HS_1",0.224984265281272,0.284735521427371,0.127558260741474,-0.0366532290593902
"HS_2",0.190999317026578,0.281320005107644,0.106765404204897,-0.128921843535
"HS_3",-0.134602916174051,0.119632061848618,0.154392910587393,-0.174419099717791
"HS_4",-0.140212499336323,0.128168839325894,0.210769502054322,-0.205403435074199
"CA_0",0.276207669444707,-0.00522733267199536,-0.165498617562631,-0.0924542883644016
"CA_1",-0.122142349701398,-0.0449791980244336,-0.322668796009017,0.0782268512621292
"CA_2",-0.162549027657656,0.101948905900484,-0.558671843616789,0.0239203631022674
"CA_3",-0.065289203031656,0.0454317511850044,-0.568367396194532,-0.0562546714746438
"ChR2_0",-0.133751704490108,-0.268564652560399,0.104337025017015,0.339636719608968
"ChR2_1",-0.126651455626732,-0.333411019793624,0.0966451886487895,0.155327665184721
"ChR2_2",-0.111188467838021,-0.276929278573369,0.0523968281714461,0.0452340553412577
"Chol2_HS_0",0.0290368603829261,0.0180785398999912,0.0924795076062345,0.390952691641204
"Chol2_HS_1",-0.127548315308319,0.0477114898506209,0.0590413426345501,0.415255617722371
"Chol2_HS_2",-0.103451127712531,0.102169888137494,0.250067727233879,-0.0215743905367213
"Chol2_CA_0",0.167511676794268,-0.265166468880593,-0.0399992969799886,-0.323346851125034
"Chol2_CA_1",0.553074526525654,-0.386282559719688,2.55737032816283e-05,-0.205048201105037
"Chol2_CA_2",-0.107218037272451,-0.275342593565625,0.0476003450946679,-0.0433193334602977
"Chol2_CA_3",-0.123429735153663,-0.208177153858736,0.147755118583376,-0.140242655105061
