"Sample","SVAFactor.1","SVAFactor.2","SVAFactor.3"
"NC_0",-0.212994479022533,0.138426613407037,-0.21959726109504
"NC_1",-0.202977613419342,0.109757296683572,-0.102016483088252
"NC_2",-0.210304049200996,0.191103124274699,-0.169466290449527
"NC_3",0.320796020058673,-0.121838980111325,0.321149220001602
"HS_0",0.309259858427163,-0.231702098059349,0.251807227482869
"HS_1",0.185551203366768,0.155131932687383,-0.0929654999745357
"HS_2",0.147662956457099,0.0289894589536866,0.125529201425771
"HS_3",-0.169260722976464,0.0560791793697596,0.00581213537729999
"HS_4",-0.1707982537766,0.215639270630466,0.0890251330464508
"CA_0",0.264420264103719,0.207551288561264,0.110886358912121
"CA_1",-0.114192513179799,-0.230747510548589,0.0587256706442328
"CA_2",-0.175806974400947,-0.300663209477464,-0.150380339186005
"CA_3",-0.0618616446670862,-0.371625256486064,-0.418337143072841
"ChR2_0",-0.109119542191139,-0.180019537520021,0.104702495366165
"ChR2_1",-0.0972800962433919,-0.01088433714188,0.087557598985911
"ChR2_2",-0.0909902350947164,-0.0157297106094606,0.0941882406063158
"Chol2_HS_0",0.0745248510350414,-0.144775414311739,0.0332257126030338
"Chol2_HS_1",-0.0919282861577898,-0.248663591530025,0.149123141745956
"Chol2_HS_2",-0.0953324983107328,0.517396701832037,0.223611500031528
"Chol2_CA_0",0.164552161622697,0.181963783915293,-0.518083313277067
"Chol2_CA_1",0.574618236018999,0.0790905111537583,-0.279291061235684
"Chol2_CA_2",-0.104278162701406,-0.156169872456081,0.0778504665073978
"Chol2_CA_3",-0.134260479747217,0.131690356783042,0.216943288642297
