sample,diet,condition,diet_condition,multiplicity (tumours => 2mm),weight,liver,spleen,epi_fat,sub_fat,caecum,largest_tumour,cholesterol (mmol/L),triglyceride,ldl,hdl,non_hdl,fbs_gtt
CA_185T,CA,Tumour,CA_Tumour,6,27.6,2.49,0.24,0.22,0.19,0.53,4.7,3.02,0.92,1.1,1.49,1.53,8
CA_186,CA,Normal,CA_Normal,2,25.3,1.86,0.2,0.17,NA,0.51,6.8,2.68,1.12,0.78,1.39,1.29,7.7
CA_186T,CA,Tumour,CA_Tumour,2,25.3,1.86,0.2,0.17,NA,0.51,6.8,2.68,1.12,0.78,1.39,1.29,7.7
CA_217,CA,Normal,CA_Normal,1,21,3.25,0.07,0.05,0.07,0.25,16.9,3.92,0.63,1.24,2.39,1.53,NA
CA_217T,CA,Tumour,CA_Tumour,1,21,3.25,0.07,0.05,0.07,0.25,16.9,3.92,0.63,1.24,2.39,1.53,NA
CA_233,CA,Normal,CA_Normal,2,28,2.21,0.12,0.26,0.24,0.37,8,2.67,0.86,0.97,1.3,1.37,8.6
CA_233T,CA,Tumour,CA_Tumour,2,28,2.21,0.12,0.26,0.24,0.37,8,2.67,0.86,0.97,1.3,1.37,8.6
CA_234,CA,Normal,CA_Normal,0,29.2,2.15,0.12,0.35,0.28,0.44,NA,3.04,0.75,1.1,1.59,1.45,8.3
CA_235,CA,Normal,CA_Normal,3,28.2,2.07,0.12,0.32,0.25,0.39,6.5,2.79,0.78,0.84,1.59,1.19,7.9
CA_235T,CA,Tumour,CA_Tumour,3,28.2,2.07,0.12,0.32,0.25,0.39,6.5,2.79,0.78,0.84,1.59,1.19,7.9
CA_236T,CA,Tumour,CA_Tumour,4,26.9,2.22,0.12,0.2,0.19,0.54,4,3.05,0.74,1.23,1.47,1.57,8.4
CA_237T,CA,Tumour,CA_Tumour,3,26,2.14,0.11,0.21,0.17,0.45,5,NA,NA,NA,NA,NA,6.8
HS_130,HS,Normal,HS_Normal,3,29.6,3.6,0.16,0.48,0.28,0.16,17.6,NA,NA,NA,NA,NA,11
HS_130T,HS,Tumour,HS_Tumour,3,29.6,3.6,0.16,0.48,0.28,0.16,17.6,NA,NA,NA,NA,NA,11
HS_131,HS,Normal,HS_Normal,3,40.7,3.82,0.11,1.2,0.9,0.21,NA,NA,NA,NA,NA,NA,13
HS_131T,HS,Tumour,HS_Tumour,3,40.7,3.82,0.11,1.2,0.9,0.21,NA,NA,NA,NA,NA,NA,13
HS_134,HS,Normal,HS_Normal,0,34.9,1.38,0.11,0.99,0.62,0.36,NA,2.29,0.8,0.28,1.65,0.65,11
HS_150,HS,Normal,HS_Normal,1,33,1.4,1.31,0.86,0.78,0.25,11.3,2.82,0.52,0.58,2,0.82,NA
HS_150T,HS,Tumour,HS_Tumour,1,33,1.4,1.31,0.86,0.78,0.25,11.3,2.82,0.52,0.58,2,0.82,NA
HS_151,HS,Normal,HS_Normal,0,27.2,0.92,0.07,0.33,0.28,0.24,NA,2.28,0.72,0.81,1.14,1.14,NA
HS_152,HS,Normal,HS_Normal,1,40,2.31,0.12,1.45,2.01,0.17,8,4.93,0.62,NA,2.6,NA,8.5
HS_152T,HS,Tumour,HS_Tumour,1,40,2.31,0.12,1.45,2.01,0.17,8,4.93,0.62,NA,2.6,NA,8.5
HS_164,HS,Normal,HS_Normal,1,35.6,1.65,0.09,1,0.6,0.4,3.7,2.86,0.77,0.4,2.11,0.75,11.3
