"Sample","SVAFactor.1","SVAFactor.2","SVAFactor.3","SVAFactor.4","SVAFactor.5","SVAFactor.6","SVAFactor.7","SVAFactor.8","SVAFactor.9"
"X0869",0.0302071062111659,-0.128622716933571,0.218832839308858,-0.15119464462363,0.0768821003220509,0.124450647130683,-0.045242705377175,0.0617115514843919,-0.000538874437563021
"X0872",-0.0453470624557722,-0.0296754944453804,0.107337004535662,-0.186689456323504,0.0746479238675097,0.212129152242641,0.154041332973271,0.11504441565634,-0.118061513998255
"X0873",0.0545795562671593,-0.0804333594657177,0.191738665001371,-0.0560155098801852,0.0575559087634264,0.0652884244248269,0.0972134018945821,0.0546645210140229,-0.0907734569293971
"X0874",0.013742224268949,-0.0194730064349452,-0.0365026561111302,-0.158603468201647,0.151926055652503,-0.0284999013477181,0.203176282102048,0.191160981703605,-0.149546034029324
"X0875",0.0166198124436766,-0.0404160223743091,0.0174685551072438,-0.050746961499864,0.0865192777839195,0.102500041180404,0.137311933825853,0.0897117880010328,-0.188008077868995
"X0876",-0.0605230852148598,0.0186346469412412,-0.0190495229982057,-0.112047998949199,0.0578126983906083,0.0354954445309543,0.0471543423908873,0.127800265121466,-0.0173135970687515
"X0877",0.0688545355640933,-0.123685764439923,0.193615249547487,-0.0465952118246035,0.0394318911217988,0.018622580799597,0.0703520647495684,0.042161630591922,-0.223586707474166
"X0878",0.0284775986970874,-0.0230448690202391,-0.0279922778323493,-0.135868005860893,0.0374131110760808,0.0600471411537934,0.0267357733972013,0.116883753743051,-0.0934695483776456
"X0879",0.00691154877611095,-0.00486716615752593,0.151374578707127,0.118162356324631,-0.0494922724402962,-0.131445432968374,0.0478781986579137,0.0308942513817024,-0.151732104297667
"X0881",0.0226629551129534,-0.0270630311922342,0.136601295662506,-0.078841593253569,-0.166404005382141,-0.0316732070778855,0.0471337653948476,-0.0508613365291866,0.0329172111461972
