"Sample","SVAFactor.1","SVAFactor.2","SVAFactor.3","SVAFactor.4","SVAFactor.5","SVAFactor.6","SVAFactor.7","SVAFactor.8","SVAFactor.9"
"X0898",0.058684985762631,0.0325497358642599,-0.172858270161978,0.00832898172064195,-0.068184832838126,-0.0305586758932479,-0.174951082888625,-0.209990385820488,-0.0596363328437927
"X0899",0.240080926715236,-0.181304130180953,-0.13801610333223,-0.0764102999590474,0.0338239051417001,0.0321483419597882,-0.131492071786954,-0.130249049686773,0.0887588826500322
"X0910",0.128251428475485,-0.0369330115156947,-0.00134275189770341,0.000850215919292409,-0.225524921206948,-0.0792513122055511,0.0238795055740909,0.0317295738061718,0.136825345110232
"X2683",0.0784143073142978,0.245517941676061,-0.03272268284492,0.133173497372612,-0.193839180296169,0.156548146110318,-0.0797804959091398,0.0835831883115915,-0.138813826547136
"X2684",0.304556310569648,0.0225537529562763,-0.0850099964089708,0.051545103947042,0.0905420865269522,0.0501657722963677,0.0804393993030456,0.0548108615221707,0.0372979443037512
"X2685",0.0754709600519002,0.0915033750244817,0.00285999071312043,0.240577976767699,0.346067934594094,0.101587028017874,0.128844032867386,-0.200652286968942,0.227617780040284
"X2687",-0.190211758813779,0.180433037171858,0.171937399258021,0.000753795675930913,0.0949885198429099,0.234339040871064,-0.172632254365147,0.124960603699129,0.104386314471285
"X2688",0.11125275992899,0.145628966930164,-0.175737426735769,0.0805049064036245,0.332484142573086,-0.184611727796873,0.0919356859326003,-0.0484248008828851,0.119532250180098
"X2689",-0.101388827448517,0.192309441600923,-0.0296272777142165,-0.0444839687402453,0.0916976118346348,0.0480048759131081,-0.0712822624684284,-0.0171332898874619,-0.00772689441527867
"X2691",0.107197575187858,0.106126234508653,-0.00686048545724889,-0.123705387055608,-0.0188846541091281,-0.0897986407725443,-0.138524348177449,-0.125010440450438,-0.0574361924825618
"X2692",-0.0161062424641781,0.221467694513993,-0.0202715956527018,0.384180922740631,0.140676499322777,0.260773114193036,0.0178758781372438,0.0970540575903611,0.0119550277679492
"X2693",0.134978684345268,0.135731446244388,0.121901636792611,0.0611710400199132,0.0293199446673176,-0.187251632335735,-0.0379435724637324,0.178028397981203,0.0906412950254201
"X2696",0.188114938929828,0.166712618613671,0.00477300932387993,0.033956001818221,-0.0734703538356111,-0.120160386585896,0.0544494068980858,0.0734506500415154,-0.0212917637075588
"X2697",0.0702798193671419,0.10683642015312,-0.197755913978237,-0.242342280395015,-0.0718557381721161,-0.174372694085264,0.289248042718476,-0.103206776485746,-0.270535023354035
"X2698",-0.218747580496065,0.199925930277435,0.054657430137631,0.0848490775311721,0.148876317234557,0.142969292204654,-0.0738828435339741,-0.191650960062346,-0.301957618309172
"X2701",0.204470505868209,0.117267378429415,0.0271497861167564,0.19860310023932,-0.0750331093857783,0.0616920129669122,-0.0662932588127967,0.0308044804111091,-0.160410635761875
"X2704",0.0643007802734679,0.108427553010862,-0.212040802581466,-0.109853873386516,0.00573063198224307,0.167568148833947,0.0853924598721907,-0.171116921342149,-0.0543581263521936
"X2705",0.228371881020728,0.0474025854028918,-0.0868098534141528,0.121549342134645,0.0479312933719908,0.120374819557231,-0.0151941418424109,0.0254964615339708,0.146076123657542
"X3992",-0.119042001256435,-0.155836542281997,-0.195907708805863,-0.0231661544328633,0.227478000019787,-0.04555780757986,-0.0717892799831864,-0.0318411387542161,0.268380500081675
"X3993",-0.188181527342379,-0.25069236579987,0.133536947387176,0.356743675920907,-0.130799877710509,-0.15158445874912,0.280418140533758,-0.472732024338533,-0.136124040278274
"X3995",-0.179179976355955,-0.206032778149652,0.134160872217922,0.122518045938062,0.077739025322182,-0.061103573338336,-0.0348932693960932,-0.0269058024240971,0.251441037139731
"X3996",-0.205032236940108,-0.193775356074426,-0.261280037891165,0.0482438438058602,-0.259621292780743,0.415812042970068,0.343067339306644,0.0397572271750543,0.225167129896535
"X3997",-0.188950935938166,-0.135816609999893,-0.178861586224249,0.197261311644455,0.0767475571959887,-0.332135032570541,0.330135260976788,0.412336366094205,-0.0542835669112139
"X4000",-0.0424621542393834,-0.216734822018268,0.114412892937864,-0.000645094011456822,0.0670427999159683,0.114138841650047,-0.162303105363068,-0.118891147626739,-0.0838388042948333
"X4002",-0.0583366377742635,-0.17251247674926,0.110435848631985,0.0289403693219945,0.0246516242791237,0.0588090628567457,-0.163117334693646,0.0950194007628259,0.017898164414672
"X4004",0.0254237805472431,-0.196437246314851,0.0319914540331124,-0.175132129305619,0.116035983821996,-0.0069711372232587,-0.102908316518908,-0.0834508672097906,-0.0698582912534824
"X4005",-0.0686926000550566,-0.135296450144065,-0.194687948861667,0.0216046049002017,-0.290431106496703,0.214591360224649,-0.165696337755851,0.0717253611869174,-0.0677240177033314
"X4007",-0.0204670001571516,-0.160914731714756,-0.0349372551393183,-0.150474535060105,0.128709933174869,-0.0153718995179902,-0.181690310779945,0.0358694560862483,-0.02746473650762
"X4008",-0.156008677357327,-0.109771387235625,-0.306915136482797,-0.00887105172024975,0.0416418404656045,-0.133928302349613,-0.277798885275206,0.200308744822814,-0.0292487933897406
"X4010",-0.220731965333561,-0.0754541406349251,-0.150684151981708,0.243181861409791,0.0169043162248623,-0.189399950226128,-0.31520560887569,0.0402063427388516,-0.256471463579498
